species_id,common_name,scientific_name,kingdom,phylum,class,order,family,ui_svg_path,ui_svg_type,jigsaw_layer,phylopic_uuid,phylopic_title,license,similar_to,flag,notes
heterocephalus_glaber,Naked mole-rat,Heterocephalus glaber,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,assets/species_svg/heterocephalus_glaber.svg,phylopic,3_naked mole rat,7a7d8226-aa19-4f6f-8afa-f039cc860d7e,Heterocephalus glaber,CC0,,ok,Exact species. PhyloPic source.svg (UUID 7a7d8226-aa19-4f6f-8afa-f039cc860d7e); prior hand-drawn trace retained as ALL_ANIMALS layer '3_naked mole rat'.
homarus_americanus,American lobster,Homarus americanus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,assets/species_svg/homarus_americanus.svg,phylopic,26_lobster,46f3f90b-48ee-4d25-b751-e5070e37532e,Homarus americanus,CC0 / PDM,,ok,Exact species. PhyloPic source.svg (UUID 46f3f90b-48ee-4d25-b751-e5070e37532e); prior hand-drawn trace retained as ALL_ANIMALS layer '26_lobster'.
homo_sapiens,Human,Homo sapiens,Animalia,Chordata,Mammalia,Primates,Hominidae,assets/species_svg/homo_sapiens.svg,phylopic,0_base,f46f28c7-b3da-485e-9af0-9839b63138e0,Homo longi,CC0,,ok,"PhyloPic source.svg (Homo longi, UUID f46f28c7, CC0). H. longi (Ji & Ni 2021) is an archaic Homo species; genus-level match. Shown in gene cards/reports like any other species; the puzzle's outer human silhouette is the separate 0_base layer in ALL_ANIMALS.svg."
hoplostethus_atlanticus,Orange Roughy,Hoplostethus atlanticus,Animalia,Chordata,Actinopterygii,Trachichthyiformes,Trachichthyidae,assets/species_svg/hoplostethus_atlanticus.svg,phylopic,,,,CC0,,pending,SVG to be sourced
leiurus_quinquestriatus,Deathstalker scorpion,Leiurus quinquestriatus,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,assets/species_svg/leiurus_quinquestriatus.svg,phylopic,35_scorpion,4133ae32-753e-49eb-bd31-50c67634aca1,Heterometrus laoticus,CC0,,ok,New SVG download from PhyloPic (Margot Michaud CC0). Heterometrus laoticus (Scorpionidae) is different family from Leiurus (Buthidae) but same order Scorpiones; forward-claws + upward-curved tail posture visually matches deathstalker in side view
leptonychotes_weddellii,Weddell seal,Leptonychotes weddellii,Animalia,Chordata,Mammalia,Carnivora,Phocidae,assets/species_svg/leptonychotes_weddellii.svg,phylopic,12_seal,81814d17-9379-4358-ad92-32e92dbf35eb,Leptonychotes weddellii,CC BY 4.0,,ok,Exact species; must credit Gabriela Palomo-Munoz and indicate changes. PhyloPic source.svg (UUID 81814d17-9379-4358-ad92-32e92dbf35eb); prior hand-drawn trace retained as ALL_ANIMALS layer '12_seal'.
leucoraja_erinacea,Little skate,Leucoraja erinacea,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,assets/species_svg/leucoraja_erinacea.svg,phylopic,33_skate,f1c15c22-db53-4753-837e-5bb439c591fa,Leucoraja erinacea,CC0,,ok,Exact species
loxodonta_africana,African elephant,Loxodonta africana,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,assets/species_svg/loxodonta_africana.svg,phylopic,5_elephant,62398ac0-f0c3-48f8-8455-53512a05fbc4,Loxodonta africana africana,CC0,,ok,Exact subspecies. PhyloPic source.svg (UUID 62398ac0-f0c3-48f8-8455-53512a05fbc4); prior hand-drawn trace retained as ALL_ANIMALS layer '5_elephant'.
malapterurus_electricus,Electric Catfish,Malapterurus electricus,Animalia,Chordata,Actinopterygii,Siluriformes,Malapteruridae,assets/species_svg/malapterurus_electricus.svg,phylopic,,,,CC0,,pending,SVG to be sourced
melopsittacus_undulatus,Budgerigar,Melopsittacus undulatus,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,assets/species_svg/melopsittacus_undulatus.svg,phylopic,32_budgerigar,93400ea7-5b4c-4d5f-92ae-2345f228df08,Melopsittacus undulatus,CC0,erithacus_rubecula,ok,Exact species; monotypic genus
mus_musculus,Mouse,Mus musculus,Animalia,Chordata,Mammalia,Rodentia,Muridae,assets/species_svg/mus_musculus.svg,phylopic,25_mouse,6b2b98f6-f879-445f-9ac2-2c2563157025,Mus musculus domesticus,CC0 / PDM,acomys_cahirinus,ok,Exact subspecies (domestic house mouse). PhyloPic source.svg (UUID 6b2b98f6-f879-445f-9ac2-2c2563157025); prior hand-drawn trace retained as ALL_ANIMALS layer '25_mouse'.
myroides_profundi,Deep-sea Bacterium,Myroides profundi,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,assets/species_svg/myroides_profundi.svg,phylopic,,,,CC0,deinococcus_radiodurans,pending,SVG to be sourced; similar to Deinococcus silhouette
photinus_pyralis,Firefly,Photinus pyralis,Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,assets/species_svg/photinus_pyralis.svg,phylopic,20_firefly,ae83a86e-79a8-46b5-ba0e-9d4b25bd707e,Photinus pyralis,CC BY 3.0,,ok,Exact species; attribution required. PhyloPic source.svg (UUID ae83a86e-79a8-46b5-ba0e-9d4b25bd707e); prior hand-drawn trace retained as ALL_ANIMALS layer '20_firefly'.
pinctada_fucata,Akoya pearl oyster,Pinctada fucata,Animalia,Mollusca,Bivalvia,Ostreida,Pteriidae,assets/species_svg/pinctada_fucata.svg,phylopic,37_oyster,a2a342d0-e77e-4abc-8913-72b15eb9d906,Pinctada fucata,CC BY-SA 3.0,,ok,New SVG download from PhyloPic; exact species. Previously stored as PNG only. Must credit Taro Maeda; share-alike
polypedilum_vanderplanki,Sleeping chironomid,Polypedilum vanderplanki,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,assets/species_svg/polypedilum_vanderplanki.svg,phylopic,24_chironomid,af2b4c88-b61d-4343-898a-69741d883a54,Chironomidae,PDM 1.0,drosophila_melanogaster,ok,New SVG download (Melissa Ingala PDM 1.0). P. vanderplanki absent from PhyloPic; family Chironomidae is closest match. Replaces previous CC BY-NC 3.0 PNG — PDM removes the non-commercial restriction
potorous_tridactylus,Long-nosed potoroo,Potorous tridactylus,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,assets/species_svg/potorous_tridactylus.svg,phylopic,38_potoroo,6354f106-3d0f-4525-b958-75bd740a19ee,Potorous tridactylus,CC0,,ok,Exact species
pseudopleuronectes_americanus,Winter flounder,Pseudopleuronectes americanus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,assets/species_svg/pseudopleuronectes_americanus.svg,phylopic,13_fish,83fae06d-c93d-41d6-9080-82734bc59163,Pseudopleuronectes americanus,CC0,,ok,Exact species. PhyloPic source.svg (UUID 83fae06d-c93d-41d6-9080-82734bc59163); prior hand-drawn trace retained as ALL_ANIMALS layer '13_fish'.
pteropus_alecto,Black flying fox,Pteropus alecto,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,assets/species_svg/pteropus_alecto.svg,phylopic,11_bat,e4ab0438-794b-4030-8e2a-7b5c1f23bf03,Pteropus poliocephalus,CC0,,ok,Same genus; grey-headed flying fox; wing morphology equivalent at silhouette resolution. PhyloPic source.svg (UUID e4ab0438-794b-4030-8e2a-7b5c1f23bf03); prior hand-drawn trace retained as ALL_ANIMALS layer '11_bat'.
ramazzottius_varieornatus,Tardigrade,Ramazzottius varieornatus,Animalia,Tardigrada,Eutardigrada,Parachela,Ramazzottiidae,assets/species_svg/ramazzottius_varieornatus.svg,phylopic,1_tardigrade,1a7ba4da-a5f9-489b-b30e-8cf56d579d8f,Tardigrada,CC BY-NC-SA 3.0,,ok,Phylum-level fallback; no species silhouette in PhyloPic; NC-SA license: non-commercial only; must credit Mali'o Kodis / Smithsonian Institution; derivative works must carry same license. PhyloPic source.svg (UUID 1a7ba4da-a5f9-489b-b30e-8cf56d579d8f); prior hand-drawn trace retained as ALL_ANIMALS layer '1_tardigrade'.
schmidtea_mediterranea,Planarian,Schmidtea mediterranea,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,assets/species_svg/schmidtea_mediterranea.svg,phylopic,9_planarian,fb16134d-47c9-42f0-bafe-f63bccf2d58b,Schmidtea mediterranea,CC0,,ok,Exact species. PhyloPic source.svg (UUID fb16134d-47c9-42f0-bafe-f63bccf2d58b); prior hand-drawn trace retained as ALL_ANIMALS layer '9_planarian'.
sepia_officinalis,Common cuttlefish,Sepia officinalis,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,assets/species_svg/sepia_officinalis.svg,phylopic,19_cuttlefish,6cbff80e-9537-4130-8397-ebbf77464ea4,Sepia officinalis,CC BY 3.0,,ok,Exact species; attribution required. PhyloPic source.svg (UUID 6cbff80e-9537-4130-8397-ebbf77464ea4); prior hand-drawn trace retained as ALL_ANIMALS layer '19_cuttlefish'.
somniosus_microcephalus,Greenland shark,Somniosus microcephalus,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,assets/species_svg/somniosus_microcephalus.svg,phylopic,6_shark,081252c0-f3f3-4d9f-84bb-b9f00fcb1f5b,Centroscymnus,CC0,,ok,Family-level fallback; Centroscymnus (Portuguese dogfish) is same family Somniosidae as Somniosus; sleeper shark body plan close. PhyloPic source.svg (UUID 081252c0-f3f3-4d9f-84bb-b9f00fcb1f5b); prior hand-drawn trace retained as ALL_ANIMALS layer '6_shark'.
trichonephila_clavipes,Golden silk orbweaver,Trichonephila clavipes,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,assets/species_svg/trichonephila_clavipes.svg,phylopic,34_spider,f152b5fb-1e9f-4d4b-864c-704a95827129,Trichonephila clavata,CC BY 4.0,,ok,Congeneric orb-weaver (T. clavata); morphologically equivalent at silhouette resolution; attribution required
turritopsis_dohrnii,Immortal jellyfish,Turritopsis dohrnii,Animalia,Cnidaria,Hydrozoa,Anthoathecatae,Oceanidae,assets/species_svg/turritopsis_dohrnii.svg,phylopic,8_jellyfish,e4d57d67-c144-457a-877b-34faaaa16ed2,Clytia hemisphaerica,CC BY-SA 3.0,aequorea_victoria,ok,T. dohrnii (Anthoathecatae) and C. hemisphaerica (Leptothecata) are in different orders within class Hydrozoa; class-level match. All small Hydrozoa medusae share bell-and-tentacle body plan. Supersedes previous byte-identical Narcomedusae PNG (ae1697f9). PhyloPic vector.svg (UUID e4d57d67-c144-457a-877b-34faaaa16ed2); prior hand-drawn trace retained as ALL_ANIMALS layer '8_jellyfish'.
tursiops_truncatus,Bottlenose dolphin,Tursiops truncatus,Animalia,Chordata,Mammalia,Artiodactyla,Delphinidae,assets/species_svg/tursiops_truncatus.svg,phylopic,14_dolphin,0b5c6b41-3a44-4c9e-869a-63ed54bf7c65,Tursiops truncatus,CC BY-SA 3.0,,ok,Exact species; attribution required. PhyloPic source.svg (UUID 0b5c6b41-3a44-4c9e-869a-63ed54bf7c65); prior hand-drawn trace retained as ALL_ANIMALS layer '14_dolphin'.
urocitellus_parryii,Arctic ground squirrel,Urocitellus parryii,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,assets/species_svg/urocitellus_parryii.svg,phylopic,40_ground squirrel,f4ca8082-0db0-4130-88eb-04a74e18312d,Urocitellus beldingi,CC0,,ok,Same genus; Belding's ground squirrel; same stout ground-squirrel body plan at silhouette resolution
