gene_id,gene,protein_id,id_type,reference_protein,protein_length_aa,protein_mass_kda,exon_count,genes_in_system,recipient_organism_count,disorder_pct,isoelectric_point_pI,gravy_score,key_publication_year,category,gene_price
cbp_gecko,CBP (beta-keratin) gene family,"","",CBP,150,14.5,1,72,0,3,7.5,0.55,2015,Expression,20
fst344,Follistatin (FST-344),P19883,uniprot,FST,344,38.0,6,1,4,15,5.5,-0.42,2014,Regeneration,6
pcsk9_edit,PCSK9 (base edit knockout),Q8NBP7,uniprot,PCSK9,692,74.3,12,1,3,12,6.1,-0.32,2021,Longevity & Genome,7
mstn_ko,Myostatin (MSTN knockout),O14793,uniprot,MSTN,375,42.8,3,1,8,18,5.7,-0.38,2004,Regeneration,6
vegf_therapy,VEGF (gene therapy),P15692,uniprot,VEGFA,412,46.0,8,1,5,20,9.2,-0.55,2001,Regeneration,5
apoe_edit,APOE (E4 to E2 conversion),P02649,uniprot,APOE,317,36.2,4,1,2,25,5.5,-0.65,2025,Longevity & Genome,7
fgf21_stgfbr2,FGF21 + sTGFbetaR2,Q9NSA1,uniprot,FGF21,209,22.3,3,2,2,30,5.4,-0.48,2019,Longevity & Genome,5
pvlea,PvLEA (LEA proteins),,,PvLEA4,300,33.0,2,27,3,90,6.5,-1.2,2014,Stress Resistance,5
pvpimt,PvPIMT (PIMT family),,,PCMT1,227,24.6,4,14,0,12,6.8,-0.3,2014,Longevity & Genome,6
tdr1,TDR1,,,TDR1,350,39.0,1,1,1,35,8.5,-0.7,2024,Stress Resistance,6
hsf1_pv,HSF1 (coopted),,,HSF1,529,57.0,12,1,0,45,5.0,-0.8,2018,Stress Resistance,7
tps_pv,TPS (Trehalose synthase),,,TPS1,500,56.0,3,2,2,8,5.8,-0.2,2020,Stress Resistance,5
acomys_regen,Acomys regeneration program,,,,,,,20,0,,,,2012,Regeneration,6
